, Open, High, Low, Close,OPEN,HIGH,LOW,CLOSE
2021-10-12,4368.31,4374.89,4342.09,4350.65,20.62,20.81,18.97,19.85
2021-10-11,4385.44,4415.88,4360.59,4361.19,19.93,20.45,18.11,20.0
2021-10-08,4406.51,4412.02,4386.22,4391.34,19.46,19.94,18.2,18.77
2021-10-07,4383.73,4429.97,4383.73,4399.76,20.54,20.76,19.07,19.54
2021-10-06,4319.57,4365.57,4290.49,4363.55,22.95,24.4,20.99,21.0
2021-10-05,4309.87,4369.23,4309.87,4345.72,22.92,23.17,20.62,21.3
2021-10-04,4348.84,4355.51,4278.94,4300.46,22.9,24.58,21.88,22.96
2021-10-01,4317.16,4375.19,4288.52,4357.04,24.78,24.89,20.64,21.15
2021-09-30,4370.67,4382.55,4306.24,4307.54,21.48,24.71,20.6,23.14
2021-09-29,4419.54,4359.46,4359.46,4359.46,22.07,23.79,21.45,22.56
2021-09-28,4419.54,4419.54,4346.33,4352.63,19.74,24.82,19.71,23.25
2021-09-27,4442.12,4457.3,4436.19,4443.11,17.78,19.32,17.74,18.76
2021-09-24,4438.04,4463.12,4430.27,4455.48,19.33,20.41,17.63,17.75
2021-09-23,4406.75,4465.4,4406.75,4448.98,19.91,20.21,18.42,18.63
2021-09-22,4367.43,4416.75,4367.43,4395.64,22.72,23.4,20.75,20.87
2021-09-21,4374.45,4394.87,4347.96,4354.19,23.41,25.6,21.71,24.36
2021-09-20,4402.95,4402.95,4305.91,4357.73,24.25,28.79,23.9,25.71
2021-09-17,4469.74,4471.52,4427.76,4432.99,18.37,21.51,18.35,20.81
2021-09-16,4477.09,4485.87,4443.8,4473.75,18.41,19.76,17.65,18.69
2021-09-15,4447.49,4486.87,4438.37,4480.7,19.3,20.27,18.01,18.18
2021-09-14,4479.33,4485.68,4435.46,4443.05,19.58,20.47,18.39,19.46
2021-09-13,4474.81,4492.99,4445.7,4468.73,19.64,21.18,18.76,19.37
2021-09-10,4506.92,4520.47,4457.66,4458.58,17.94,21.13,16.99,20.95
2021-09-09,4513.02,4529.9,4492.07,4493.28,19.44,19.54,17.17,18.8
2021-09-08,4518.09,4521.79,4493.95,4514.07,18.97,19.64,17.78,17.96
2021-09-07,4535.38,4535.38,4513.0,4520.03,16.94,18.39,16.89,18.14
2021-09-03,4532.42,4541.45,4521.3,4535.43,16.27,17.06,16.08,16.41
2021-09-02,4534.48,4545.85,4524.66,4536.95,16.27,16.98,15.73,16.41
2021-09-01,4528.8,4537.11,4522.02,4524.09,16.06,16.71,15.68,16.11
2021-08-31,4529.75,4531.39,4515.8,4522.68,15.98,17.07,15.91,16.48
2021-08-30,4513.76,4537.36,4513.76,4528.79,16.77,16.8,15.98,16.19
2021-08-27,4474.1,4513.33,4474.1,4509.37,17.95,18.22,16.11,16.39
2021-08-26,4493.75,4495.9,4468.99,4470.0,17.46,19.27,17.16,18.84
2021-08-25,4490.45,4501.71,4485.66,4496.19,17.42,17.5,16.46,16.79
2021-08-24,4484.4,4492.81,4482.28,4486.23,16.96,17.51,16.94,17.22
2021-08-23,4450.29,4489.88,4450.29,4479.53,18.83,18.95,16.95,17.15
2021-08-20,4410.56,4444.35,4406.8,4441.67,22.74,23.9,18.18,18.56
2021-08-19,4382.44,4418.61,4367.73,4405.8,23.12,24.74,20.37,21.67
2021-08-18,4440.94,4454.32,4397.59,4400.27,17.56,21.64,17.31,21.57
2021-08-17,4462.12,4462.12,4417.83,4448.08,17.31,19.56,16.71,17.91
2021-08-16,4461.65,4480.26,4437.66,4479.71,17.05,17.71,16.02,16.12
2021-08-13,4464.84,4468.37,4460.82,4468.0,15.68,15.72,15.19,15.45
2021-08-12,4446.08,4461.77,4435.96,4460.83,16.33,16.42,15.49,15.59
2021-08-11,4442.18,4449.44,4436.42,4447.7,16.81,17.09,15.87,16.06
2021-08-10,4435.79,4445.21,4430.03,4436.75,16.82,17.05,16.34,16.79
2021-08-09,4437.77,4439.39,4424.74,4432.35,17.12,17.39,16.59,16.72
2021-08-06,4429.07,4440.82,4429.07,4436.52,17.46,17.5,16.14,16.15
2021-08-05,4408.86,4429.76,4408.86,4429.1,17.73,17.84,17.23,17.28
2021-08-04,4415.95,4416.17,4400.23,4402.66,18.23,18.9,17.67,17.97
2021-08-03,4392.74,4423.79,4373.0,4423.15,19.17,20.44,17.7,18.04
2021-08-02,4406.86,4422.18,4384.81,4387.16,18.16,19.87,17.99,19.46
2021-07-30,4395.12,4412.25,4389.65,4395.26,19.69,19.72,17.53,18.24
2021-07-29,4403.59,4429.97,4403.59,4419.15,17.91,18.01,17.19,17.7
2021-07-28,4402.95,4415.47,4387.01,4400.64,19.41,19.62,17.52,18.31
2021-07-27,4416.38,4416.38,4372.51,4401.46,18.62,20.44,18.25,19.36
2021-07-26,4409.58,4422.73,4405.45,4422.3,18.67,19.39,17.53,17.58
2021-07-23,4381.2,4415.18,4381.2,4411.79,16.98,17.48,16.33,17.2
2021-07-22,4361.27,4369.87,4350.06,4367.48,17.59,18.45,17.4,17.69
2021-07-21,4331.13,4359.7,4331.13,4358.69,19.73,19.82,17.81,17.91
2021-07-20,4265.11,4336.84,4262.05,4323.06,20.89,22.97,19.37,19.73
2021-07-19,4296.4,4296.4,4233.13,4258.49,19.61,25.09,19.27,22.5
2021-07-16,4367.43,4375.09,4322.53,4327.16,16.8,18.7,16.03,18.45
2021-07-15,4369.02,4369.02,4340.7,4360.03,16.7,18.09,16.56,17.01
2021-07-14,4380.11,4393.68,4362.36,4374.3,17.34,17.51,15.95,16.33
2021-07-13,4381.07,4392.37,4366.92,4369.21,16.39,17.23,15.94,17.12
2021-07-12,4372.41,4386.68,4364.03,4384.63,16.85,17.52,16.14,16.17
2021-07-09,4329.38,4371.6,4329.38,4369.55,17.88,18.13,16.08,16.18
2021-07-08,4321.07,4330.88,4289.37,4320.82,17.74,21.29,17.74,19.0
2021-07-07,4351.01,4361.88,4329.79,4358.13,16.43,17.64,16.08,16.2
2021-07-06,4356.46,4356.46,4314.37,4343.54,15.77,17.94,15.73,16.44
2021-07-02,4326.6,4355.43,4326.6,4352.34,15.53,15.54,14.25,15.07
2021-07-01,4300.73,4320.66,4300.73,4319.94,15.62,16.01,15.31,15.48
2021-06-30,4290.65,4302.43,4287.96,4297.5,16.18,17.31,15.58,15.83
2021-06-29,4293.21,4300.52,4287.04,4291.8,15.69,16.31,14.1,16.02
2021-06-28,4284.9,4292.14,4274.67,4290.61,16.07,16.46,15.39,15.76
2021-06-25,4274.45,4286.12,4271.16,4280.7,16.04,16.17,15.21,15.62
2021-06-24,4256.97,4271.28,4256.97,4266.49,15.99,16.05,14.19,15.97
2021-06-23,4249.27,4256.6,4241.43,4241.84,16.25,16.84,14.86,16.32
2021-06-22,4224.61,4255.84,4217.27,4246.44,17.91,18.32,15.76,16.66
2021-06-21,4173.4,4226.24,4173.4,4224.79,21.74,21.82,17.81,17.89
2021-06-18,4204.78,4204.78,4164.4,4166.45,16.96,21.04,16.92,20.7
2021-06-17,4220.37,4232.29,4196.05,4221.86,18.49,19.22,16.71,17.75
2021-06-16,4248.87,4251.89,4202.45,4223.7,16.99,19.11,16.42,18.15
2021-06-15,4255.28,4257.16,4238.35,4246.59,16.27,17.35,16.14,17.02
2021-06-14,4248.31,4255.59,4234.07,4255.15,16.04,17.04,15.04,16.39
2021-06-11,4242.9,4248.38,4232.25,4247.44,16.18,16.2,15.15,15.65
2021-06-10,4228.56,4249.74,4220.34,4239.18,18.18,18.29,16.01,16.1
2021-06-09,4232.99,4237.09,4218.74,4219.55,17.18,17.96,15.55,17.89
2021-06-08,4233.81,4236.74,4208.41,4227.26,16.58,17.75,15.15,17.07
2021-06-07,4229.34,4232.34,4215.66,4226.52,17.34,17.35,15.78,16.42
2021-06-04,4206.05,4233.45,4206.05,4229.89,18.09,18.42,16.18,16.42
2021-06-03,4191.43,4204.39,4167.93,4192.85,17.73,19.27,17.45,18.04
2021-06-02,4206.82,4217.37,4198.27,4208.12,17.86,18.31,16.74,17.48
2021-06-01,4216.52,4234.12,4197.59,4202.04,17.24,18.53,15.68,17.9
2021-05-28,4210.77,4218.36,4203.57,4204.11,16.8,16.86,15.9,16.76
2021-05-27,4201.94,4213.38,4197.78,4200.88,18.03,18.17,16.52,16.74
2021-05-26,4191.59,4202.61,4184.11,4195.99,18.37,18.92,17.35,17.36
2021-05-25,4205.94,4213.42,4182.52,4188.13,18.35,19.29,16.87,18.84
2021-05-24,4170.16,4209.52,4170.16,4197.05,20.5,20.51,18.38,18.4
2021-05-21,4168.61,4188.72,4151.72,4155.86,20.42,20.89,19.53,20.15
2021-05-20,4121.97,4172.8,4121.97,4159.12,22.33,23.5,20.19,20.67
2021-05-19,4098.45,4116.93,4061.41,4115.68,22.46,25.96,21.88,22.18
2021-05-18,4165.94,4169.15,4125.99,4127.83,18.89,21.45,18.81,21.34
2021-05-17,4169.92,4171.92,4142.69,4163.29,19.89,21.58,19.67,19.72
2021-05-14,4129.58,4183.13,4129.58,4173.85,21.77,22.1,18.66,18.81
2021-05-13,4074.99,4131.58,4074.99,4112.5,26.03,28.93,22.23,23.13
2021-05-12,4130.55,4134.73,4056.88,4063.04,22.42,28.38,21.66,27.59
2021-05-11,4150.34,4162.04,4111.53,4152.1,21.17,23.73,20.71,21.84
2021-05-10,4228.29,4236.39,4188.13,4188.43,17.34,19.75,17.07,19.66
2021-05-07,4210.34,4238.04,4201.64,4232.6,18.45,18.57,16.68,16.69
2021-05-06,4169.14,4202.7,4147.33,4201.62,18.41,20.6,18.21,18.39
2021-05-05,4177.06,4187.72,4160.94,4167.59,18.84,19.58,17.89,19.15
2021-05-04,4179.04,4179.04,4128.59,4164.66,18.16,21.85,18.11,19.48
2021-05-03,4191.98,4209.39,4188.03,4192.66,18.65,19.12,17.8,18.31
2021-04-30,4198.1,4198.1,4174.85,4181.17,17.67,19.25,17.64,18.61
2021-04-29,4206.14,4218.78,4176.81,4211.47,16.88,18.87,16.77,17.61
2021-04-28,4185.14,4201.53,4181.78,4183.18,17.47,17.84,16.67,17.28
2021-04-27,4188.25,4193.35,4176.22,4186.72,17.62,18.16,16.97,17.56
2021-04-26,4185.03,4194.19,4182.36,4187.62,17.94,18.17,16.87,17.64
2021-04-23,4138.78,4194.17,4138.78,4180.17,18.56,18.78,16.8,17.33
2021-04-22,4170.46,4179.57,4123.69,4134.98,17.28,19.9,16.99,18.71
2021-04-21,4128.42,4175.02,4126.35,4173.42,18.48,19.29,16.91,17.5
2021-04-20,4159.18,4159.18,4118.38,4134.94,17.36,19.7,17.24,18.68
2021-04-19,4179.8,4180.81,4150.47,4163.26,17.04,18.61,16.78,17.29
2021-04-16,4174.14,4191.31,4170.75,4185.47,16.65,16.88,16.05,16.25
2021-04-15,4139.76,4173.49,4139.76,4170.42,16.78,16.92,15.94,16.57
2021-04-14,4141.58,4151.69,4120.87,4124.66,16.71,17.69,15.38,16.99
2021-04-13,4130.1,4148.0,4124.43,4141.59,16.99,17.86,16.43,16.65
2021-04-12,4124.71,4131.76,4114.82,4127.99,17.43,17.91,16.81,16.91
2021-04-09,4096.11,4129.48,4095.51,4128.8,17.05,17.34,16.2,16.69
2021-04-08,4089.95,4098.19,4082.54,4097.17,16.92,17.36,16.55,16.95
2021-04-07,4074.29,4083.13,4068.31,4079.95,17.99,18.17,16.87,17.16
2021-04-06,4075.57,4086.23,4068.14,4073.94,18.07,18.3,17.37,18.12
2021-04-05,4034.44,4083.42,4034.44,4077.91,18.16,18.4,17.35,17.91
2021-04-01,3992.78,4020.63,3992.78,4019.87,18.6,18.64,17.29,17.33
2021-03-31,3967.25,3994.41,3966.98,3972.89,19.8,20.11,18.85,19.4
2021-03-30,3963.34,3968.01,3944.35,3958.55,20.76,21.75,19.47,19.61
2021-03-29,3969.31,3981.83,3943.25,3971.09,20.4,21.6,19.42,20.74
2021-03-26,3917.12,3978.19,3917.12,3974.54,19.32,21.49,18.68,18.86
2021-03-25,3879.34,3919.54,3853.5,3909.52,20.8,23.55,19.81,19.81
2021-03-24,3919.93,3942.08,3889.07,3889.14,20.64,21.49,19.3,21.2
2021-03-23,3937.6,3949.13,3901.57,3910.52,19.46,21.58,18.8,20.3
2021-03-22,3916.48,3955.31,3914.16,3940.59,21.91,22.29,18.87,18.88
2021-03-19,3913.14,3930.12,3886.75,3913.1,21.43,23.17,19.9,20.95
2021-03-18,3953.5,3969.62,3910.86,3915.46,18.95,22.6,18.95,21.58
2021-03-17,3949.57,3983.87,3935.74,3974.12,20.1,20.95,19.18,19.23
2021-03-16,3973.59,3981.04,3953.44,3962.71,20.14,20.31,19.33,19.79
2021-03-15,3942.96,3970.08,3923.54,3968.94,21.84,21.86,19.87,20.03
2021-03-12,3924.52,3944.99,3915.21,3943.34,22.57,22.99,20.63,20.69
2021-03-11,3915.54,3960.27,3915.54,3939.34,22.5,22.5,21.45,21.91
